"Country,",Total Cases,New,Total,New,Total,"Serious,"
Other,,Cases,Deaths,Deaths,Recovered,Critical
Australia,21,2,,,11,
Belgium,1,,,,1,
Cambodia,1,,,,1,
Canada,9,,,,3,
China,"76,291",827,"2,345",109,"21,069","11,477"
Diamond Princess,634,,2,,17,27
Egypt,1,,,,1,
Finland,1,,,,1,
France,12,,1,,10,
Germany,16,,,,14,
Hong Kong,70,1,2,,11,6
India,3,,,,3,
Iran,28,10,5,1,,
Israel,1,,,,,
Italy,66,45,2,1,2,16
Japan,134,25,1,,22,6
Lebanon,1,,,,,
Macao,10,,,,6,
Malaysia,22,,,,17,
Nepal,1,,,,1,
Philippines,3,,1,,2,
Russia,2,,,,2,
S. Korea,433,224,2,,18,9
Singapore,89,3,,,49,5
Spain,2,,,,2,
Sri Lanka,1,,,,1,
Sweden,1,,,,,
Taiwan,26,,1,,2,1
Thailand,35,,,,20,2
U.A.E.,13,2,,,3,2
U.K.,9,,,,8,
USA,35,,,,6,
Vietnam,16,,,,15,
